Step,voronoi+fno val,voronoi+unet val,voronoi+unet train,voronoi+fno train
0,0.01327215,0.143317431,0.145306826,0.013206727
1,0.00686272,0.035193399,0.034789555,0.006906689
2,0.004879497,0.020157095,0.019326203,0.004947591
3,0.004368146,0.017689824,0.017947849,0.004282859
4,0.003334387,0.014142134,0.013655734,0.003415172
5,0.003298407,0.009243566,0.009532555,0.003196811
6,0.003246048,0.012502449,0.012517063,0.003203315
7,0.002215652,0.010318687,0.010040726,0.002309183
8,0.003329788,0.010926444,0.011589806,0.003272495
9,0.002828086,0.006637048,0.006591049,0.002778956
10,0.002998772,0.00638464,0.006798389,0.003213492
11,0.001926036,0.008003753,0.007459196,0.001929144
12,0.002189651,0.008143959,0.00777861,0.002310304
13,0.003308285,0.006179343,0.006636584,0.003304956
14,0.002370288,0.007758905,0.00741799,0.002278997
15,0.002164285,0.010008216,0.009654193,0.00244737
16,0.002509345,0.007348706,0.007542487,0.002325678
17,0.002163283,0.006381972,0.007075634,0.002057513
18,0.00196537,0.004981546,0.005216955,0.001857842
19,0.002130057,0.006471986,0.006397715,0.002134458
20,0.001329424,0.005759511,0.005427693,0.001348681
21,0.002389132,0.004522872,0.005056398,0.002224765
22,0.001865877,0.003766309,0.004120776,0.001799523
23,0.001550054,0.004119023,0.004038278,0.001698057
24,0.001451362,0.005732132,0.005393048,0.001538134
25,0.001108676,0.004482851,0.004574735,0.001160558
26,0.001468335,0.003656618,0.004102515,0.001391695
27,0.001167639,0.004514773,0.004480479,0.001193881
28,0.001258087,0.00386399,0.00407291,0.00136802
29,0.001078333,0.005538784,0.005987601,0.001179104
30,0.001750922,0.003805218,0.003838213,0.001669364
31,0.001205926,0.004793685,0.004574254,0.001178418
32,0.001541429,0.003357767,0.003310593,0.001556424
33,0.001017477,0.00352285,0.003516928,0.001055473
34,0.001137164,0.003702086,0.003723158,0.001058407
35,0.001246349,0.003286037,0.003176298,0.001185891
36,0.001618029,0.002653855,0.002614994,0.00156728
37,0.001371705,0.004139722,0.003573866,0.00136825
38,0.001081708,0.003055489,0.003051755,0.001172077
39,0.000900859,0.002826426,0.002833579,0.000917864
40,0.000808747,0.002636981,0.002860562,0.000774715
41,0.000933037,0.003140236,0.003244934,0.000928834
42,0.000902882,0.002555948,0.002470777,0.000960972
43,0.001495419,0.002402821,0.002364082,0.001387413
44,0.000894233,0.003595612,0.003474761,0.000910025
45,0.000767707,0.003351506,0.003478827,0.000760059
46,0.000792193,0.002925266,0.002835769,0.00075377
47,0.000865027,0.002614159,0.002821553,0.000859928
48,0.000878976,0.002411195,0.002411011,0.000899298
49,0.001014814,0.002476104,0.002401268,0.001017077
50,0.000668075,0.00205157,0.002188409,0.000599452
51,0.001078593,0.002260577,0.002353401,0.001095157
52,0.000653507,0.002541804,0.002471517,0.000679384
53,0.000613743,0.00191182,0.001913138,0.000594332
54,0.000940796,0.003407995,0.003306116,0.000929815
55,0.000700304,0.002258343,0.002284888,0.000708778
56,0.000621355,0.00256887,0.002628274,0.000627724
57,0.000681369,0.003077712,0.002502811,0.000672867
58,0.000608278,0.002128396,0.002215309,0.000599133
59,0.000800279,0.002168585,0.002172958,0.000839884
60,0.000917451,0.002336124,0.002416267,0.0008705
61,0.000607047,0.00170936,0.00181509,0.000579808
62,0.000674549,0.001510304,0.001500447,0.000631524
63,0.000842994,0.001771701,0.001723691,0.000711337
64,0.000616445,0.002324396,0.002440371,0.000655234
65,0.000661999,0.001744396,0.001761454,0.000656944
66,0.000596269,0.001551745,0.001634614,0.000631841
67,0.000614588,0.001502676,0.001569221,0.000625755
68,0.000444309,0.001430368,0.001497076,0.000446036
69,0.000499708,0.002033301,0.00188624,0.000536149
70,0.00062747,0.002062719,0.002030863,0.000603284
71,0.000507198,0.001588408,0.00157318,0.00047324
72,0.000867157,0.001718886,0.001853151,0.000825028
73,0.000450454,0.001521852,0.001623851,0.000457199
74,0.000802564,0.001213382,0.001215778,0.00085861
75,0.000575904,0.001413716,0.001498208,0.000565062
76,0.000459849,0.001524794,0.001819085,0.000445044
77,0.000460776,0.001516816,0.001433855,0.000461969
78,0.000444935,0.0012651,0.001224315,0.00043756
